Age,MonthlyIncome,JobSatisfaction,OverTime,Attrition,BusinessTravel_Viaja_Frecuentemente,BusinessTravel_Viaja_Poco
41,5993,4,1,1,False,True
49,5130,2,0,0,True,False
37,2090,3,1,1,False,True
33,2909,3,1,0,True,False
27,3468,2,0,0,False,True
32,3068,4,0,0,True,False
59,2670,1,1,0,False,True
30,2693,3,0,0,False,True
38,9526,3,0,0,True,False
36,5237,3,0,0,False,True
35,2426,2,0,0,False,True
29,4193,3,1,0,False,True
31,2911,3,0,0,False,True
34,2661,4,0,0,False,True
28,2028,3,1,1,False,True
29,9980,1,0,0,False,True
32,3298,2,1,0,False,True
22,2935,4,1,0,False,False
53,15427,4,0,0,False,True
38,3944,4,1,0,False,True
24,4011,3,0,0,False,False
36,3407,1,0,1,False,True
34,11994,2,0,0,False,True
21,1232,4,0,0,False,True
34,2960,1,0,1,False,True
53,19094,3,0,0,False,True
32,3919,1,1,1,True,False
42,6825,2,0,0,False,True
44,10248,4,0,0,False,True
46,18947,1,0,0,False,True
33,2496,4,0,0,False,True
44,6465,4,1,0,False,True
30,2206,3,0,0,False,True
39,2086,4,0,1,False,True
24,2293,4,1,1,False,True
43,2645,3,0,0,False,True
50,2683,3,1,1,False,True
35,2014,4,0,0,False,True
36,3419,1,1,0,False,True
33,5376,1,0,0,True,False
35,1951,4,0,0,False,True
27,2341,1,0,0,False,True
26,2293,3,0,1,False,True
27,8726,3,0,0,True,False
30,4011,4,0,0,True,False
41,19545,3,0,1,False,True
34,4568,3,0,0,False,False
37,3022,2,0,0,False,True
46,5772,4,1,0,True,False
35,2269,4,0,0,False,True
48,5381,3,1,1,False,True
28,3441,3,1,1,False,True
44,5454,1,1,0,False,True
35,9884,1,1,0,False,False
26,4157,4,1,0,False,True
33,13458,4,1,0,True,False
35,9069,1,0,0,True,False
35,4014,1,1,0,False,True
31,5915,4,0,0,False,True
37,5993,3,0,0,False,True
32,6162,4,1,0,False,True
38,2406,4,0,0,True,False
50,18740,3,1,0,False,True
59,7637,1,0,0,False,True
36,10096,3,0,0,False,True
55,14756,3,1,0,False,True
36,6499,2,0,0,True,False
45,9724,1,0,0,False,True
35,2194,1,0,0,True,False
36,3388,3,1,1,False,True
59,5473,3,0,0,True,False
29,2703,2,0,0,False,True
31,2501,2,0,0,False,True
32,6220,2,0,0,False,True
36,3038,4,0,0,False,True
31,4424,4,0,0,False,True
35,4312,1,0,0,False,True
45,13245,1,1,0,False,True
37,13664,3,0,0,False,True
46,5021,2,1,0,False,True
30,5126,4,1,0,False,True
35,2859,3,0,0,False,True
55,10239,4,0,0,False,True
38,5329,4,1,0,False,False
34,4325,2,0,0,False,True
56,7260,4,0,0,False,True
23,2322,1,0,0,False,True
51,2075,4,0,0,False,True
30,4152,4,0,0,False,True
46,9619,4,0,1,False,True
40,13503,2,0,0,True,False
51,5441,4,1,0,False,True
30,5209,2,1,0,False,True
46,10673,1,1,0,True,False
32,5010,3,0,0,False,True
54,13549,3,0,0,False,True
24,4999,3,0,0,False,True
28,4221,3,0,0,False,False
58,13872,3,0,0,False,True
44,2042,2,0,0,False,False
37,2073,1,1,1,False,True
32,2956,1,0,0,False,True
20,2926,4,1,1,True,False
34,4809,3,0,0,False,True
37,5163,4,0,0,False,False
59,18844,4,0,0,False,False
50,18172,2,1,0,True,False
25,5744,3,1,1,False,True
25,2889,4,0,0,False,True
22,2871,4,0,0,False,True
51,7484,1,0,0,True,False
34,6074,3,1,1,True,False
54,17328,4,1,0,False,False
24,2774,3,0,0,False,True
34,4505,2,0,0,False,True
37,7428,4,0,0,False,True
34,11631,1,0,0,False,True
36,9738,4,0,0,True,False
36,2835,4,0,0,False,True
43,16959,4,1,0,True,False
30,2613,3,0,0,True,False
33,6146,2,0,0,False,False
56,4963,2,1,1,False,True
51,19537,3,0,0,False,True
31,6172,3,1,1,False,True
26,2368,2,0,0,False,True
58,10312,4,0,1,False,True
19,1675,3,1,1,False,True
22,2523,4,0,0,False,True
49,6567,1,0,0,False,True
43,4739,3,0,0,True,False
50,9208,4,0,0,True,False
31,4559,3,1,1,False,True
41,8189,3,1,0,False,True
26,2942,3,0,0,False,True
36,4941,2,0,0,False,True
51,10650,4,0,1,True,False
39,5902,3,0,0,False,True
25,8639,3,0,0,False,True
30,6347,4,1,0,False,True
32,4200,1,0,1,False,True
45,3452,4,0,0,False,True
38,4317,3,1,0,False,True
30,2632,3,0,0,False,True
32,4668,4,0,0,True,False
30,3204,1,0,0,False,True
30,2720,4,0,0,False,True
41,17181,1,0,0,True,False
41,2238,1,0,0,False,True
19,1483,2,0,0,False,True
40,5605,2,0,0,True,False
35,7295,2,0,0,False,True
53,2306,3,1,0,False,True
45,2348,2,0,0,False,True
32,8998,4,0,0,True,False
29,4319,3,0,0,False,False
51,6132,3,0,0,False,True
58,3346,2,1,0,False,True
40,10855,4,0,0,False,True
34,2231,3,0,0,True,False
22,2323,4,0,0,False,True
27,2024,2,0,0,False,False
28,2713,4,0,0,False,True
57,9439,4,1,0,False,True
27,2566,3,1,0,False,False
50,19926,2,0,0,False,True
41,2451,3,0,0,False,True
30,9419,4,0,0,False,True
38,8686,4,0,0,False,True
32,3038,3,0,0,False,True
27,3058,2,1,0,False,True
19,2325,1,0,1,True,False
36,2088,2,0,0,True,False
30,3072,1,0,0,False,False
45,5006,1,1,0,False,True
56,4257,1,1,0,False,True
33,2500,4,0,0,False,True
19,1102,4,0,1,False,True
46,10453,1,0,0,False,True
38,2288,4,0,0,False,True
31,3929,4,1,0,False,True
34,2311,2,0,0,False,True
41,3140,2,1,1,False,True
50,3690,3,0,0,False,True
53,4450,1,0,0,False,True
33,2756,2,0,0,False,True
40,19033,3,0,0,False,True
55,18722,2,0,0,False,True
34,9547,3,0,0,True,False
51,13734,2,0,0,False,True
52,19999,3,0,0,False,True
27,2279,2,0,0,False,True
35,5916,3,1,1,False,True
43,2089,4,0,0,False,False
45,16792,4,0,0,False,False
37,3564,1,1,0,False,True
35,4425,2,0,0,True,False
42,5265,3,0,0,False,False
38,6553,3,0,0,False,True
38,6261,4,0,0,False,True
27,4298,1,0,0,True,False
49,6804,4,1,0,False,False
34,3815,3,1,0,True,False
40,2741,4,1,0,False,True
38,6673,1,1,1,False,True
29,7639,4,0,1,False,True
22,2328,2,1,0,False,True
36,2153,4,0,0,True,False
40,4876,4,0,0,False,False
46,9396,1,0,0,False,True
32,10400,4,0,1,False,True
30,8474,3,0,0,False,False
27,9981,3,0,0,True,False
51,12490,2,0,0,False,True
30,2657,1,1,1,False,True
41,13591,4,1,0,False,True
30,6696,1,0,1,True,False
29,2058,3,0,1,False,True
45,8865,4,0,0,False,False
54,5940,1,0,0,False,True
36,5914,2,0,0,False,True
33,2622,2,0,0,False,True
37,12185,4,1,0,True,False
38,10609,3,0,0,False,True
31,4345,3,0,0,False,False
59,2177,4,0,0,False,True
37,2793,4,0,0,True,False
29,7918,4,0,0,True,False
35,8789,3,0,0,True,False
29,2389,4,1,1,False,True
52,3212,4,0,0,False,True
42,19232,4,0,0,False,True
59,2267,3,0,0,False,True
50,19517,4,0,0,False,True
33,2436,4,1,1,False,True
43,16064,4,1,0,False,True
33,2707,1,0,1,False,True
52,19068,3,1,0,False,False
32,3931,2,0,0,False,True
32,3730,3,1,1,False,True
39,2232,3,0,0,False,True
32,4465,4,0,0,False,False
41,3072,1,0,0,False,True
40,3319,4,0,0,False,True
45,19202,4,0,0,False,True
31,13675,3,0,0,True,False
33,2911,4,0,0,False,True
34,5957,1,0,0,False,True
37,3920,1,0,0,False,True
45,6434,3,0,0,True,False
37,10048,3,0,1,True,False
39,10938,3,0,0,True,False
29,2340,4,0,0,False,True
42,6545,1,1,0,False,True
29,6931,4,0,0,False,True
25,4898,3,0,0,False,True
42,2593,1,1,0,False,True
40,19436,3,0,0,False,True
51,2723,4,0,0,False,True
31,3479,2,0,1,True,False
32,2794,2,0,0,True,False
38,5249,4,0,0,False,False
32,2176,1,0,0,False,True
46,16872,2,1,0,False,True
28,3485,3,0,1,False,True
29,6644,2,0,0,False,True
31,5582,4,0,0,False,True
25,4000,1,0,0,False,False
45,13496,4,1,0,False,True
36,3210,4,0,0,False,True
55,19045,1,1,0,False,True
47,11849,2,1,1,False,False
28,2070,4,0,0,False,True
37,6502,4,0,0,False,True
21,3230,3,0,0,False,True
37,13603,4,1,0,False,False
35,11996,2,0,0,False,True
38,5605,1,1,0,False,True
26,6397,2,0,0,True,False
50,19144,2,0,0,False,True
53,17584,3,1,0,False,True
42,4907,3,0,0,False,True
29,4554,4,0,0,True,False
55,5415,4,1,0,False,True
26,4741,1,1,0,True,False
37,2115,4,0,0,False,True
44,3161,3,1,1,True,False
38,5745,4,0,0,False,True
26,2373,2,1,1,False,True
28,3310,4,0,0,False,True
49,18665,1,1,0,True,False
36,4485,2,0,0,False,True
31,2789,2,0,0,True,False
26,5828,4,1,1,False,True
37,2326,4,1,0,True,False
42,13525,2,0,0,True,False
18,1420,3,0,1,False,True
35,8020,2,0,0,False,True
36,3688,4,0,0,True,False
51,5482,2,0,0,False,True
41,16015,2,0,0,False,True
18,1200,3,0,0,False,True
28,5661,1,0,0,False,True
31,6929,4,0,0,False,True
39,9613,4,0,0,False,True
36,5674,2,0,0,False,False
32,5484,3,0,0,False,True
38,12061,2,0,0,False,True
58,5660,3,1,0,False,False
31,4821,4,1,0,False,True
31,6410,1,0,0,False,True
45,5210,1,0,0,True,False
31,2695,4,1,0,False,True
33,11878,2,0,0,True,False
39,17068,1,1,0,False,True
43,2455,4,0,0,True,False
49,13964,3,1,0,False,True
52,4941,2,0,1,False,True
27,2478,2,1,0,False,True
32,5228,2,1,0,False,True
27,4478,3,1,0,False,True
31,7547,4,0,0,False,True
32,5055,4,0,0,False,True
28,3464,4,1,1,False,True
30,5775,4,0,0,False,True
31,8943,3,0,0,True,False
39,19272,4,0,0,True,False
39,5238,3,1,1,False,True
33,4682,4,0,0,True,False
47,18300,3,0,0,False,True
43,5257,3,0,0,True,False
